Designator,Mid X,Mid Y,Layer,Rotation
C1,38.10, 7.37,Top,270.0
C2,40.39, 8.13,Top,180.0
C3,40.39, 6.60,Top,180.0
C4, 9.65, 2.79,Top,180.0
C5, 9.91,30.48,Top,0.0
R1,11.94,11.43,Top,90.0
R2,13.46,11.43,Top,270.0
R3,15.75,11.43,Top,90.0
R4,17.27,11.43,Top,270.0
R5,19.56,11.43,Top,90.0
R6,21.08,11.43,Top,270.0
R7,23.37,11.43,Top,90.0
R8,24.89,11.43,Top,270.0
R9,27.18,11.43,Top,90.0
R10,28.70,11.43,Top,270.0
R11,30.99,11.43,Top,90.0
R12,32.51,11.43,Top,270.0
R13,43.18, 7.87,Top,270.0
R14,39.37, 2.03,Top,0.0
R15,54.36,15.49,Top,270.0
R16,54.36,19.30,Top,270.0
R17,54.36,24.89,Top,270.0
R18,54.36,28.70,Top,270.0
U1,39.12,11.43,Top,0.0
U2, 8.89,12.45,Top,0.0
U3,46.23, 3.81,Top,90.0
U4,53.59, 3.81,Top,90.0
U5,49.28,33.53,Top,90.0
